Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,State
2007-11-01,Uluru,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-02,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-02,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Canberra,14.0,26.9,3.6,4.4,9.7,ENE,39.0,E,W,4.0,17.0,80.0,36.0,1012.4,1008.4,5.0,3.0,17.5,25.7,True,True,New South Wales
2007-11-02,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-02,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-02,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-02,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-02,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-02,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-02,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-02,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-02,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-02,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-02,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,Witchcliffe,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,RAAF Base Pearce,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,Perth Airport,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,Perth,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,Salmon Gums,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,North Walpole,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-02,Hobart,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-02,Launceston,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-02,Alice Springs,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-02,Darwin,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-02,Katherine,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-02,Uluru,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-03,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-03,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Canberra,13.7,23.4,3.6,5.8,3.3,NW,85.0,N,NNE,6.0,6.0,82.0,69.0,1009.5,1007.2,8.0,7.0,15.4,20.2,True,True,New South Wales
2007-11-03,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-03,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-03,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-03,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-03,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-03,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-03,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-03,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-03,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-03,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-03,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,Witchcliffe,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,RAAF Base Pearce,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,Perth Airport,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,Perth,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,Salmon Gums,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,North Walpole,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-03,Hobart,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-03,Launceston,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-03,Alice Springs,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-03,Darwin,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-03,Katherine,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-03,Uluru,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-04,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-04,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Canberra,13.3,15.5,39.8,7.2,9.1,NW,54.0,WNW,W,30.0,24.0,62.0,56.0,1005.5,1007.0,2.0,7.0,13.5,14.1,True,True,New South Wales
2007-11-04,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-04,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-04,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-04,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-04,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-04,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-04,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-04,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-04,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-04,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-04,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,Witchcliffe,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,RAAF Base Pearce,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,Perth Airport,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,Perth,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,Salmon Gums,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,North Walpole,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-04,Hobart,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-04,Launceston,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-04,Alice Springs,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-04,Darwin,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-04,Katherine,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-04,Uluru,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-05,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-05,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Canberra,7.6,16.1,2.8,5.6,10.6,SSE,50.0,SSE,ESE,20.0,28.0,68.0,49.0,1018.3,1018.5,7.0,7.0,11.1,15.4,True,False,New South Wales
2007-11-05,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-05,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-05,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-05,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-05,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-05,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-05,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-05,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-05,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-05,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-05,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,Witchcliffe,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,RAAF Base Pearce,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,Perth Airport,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,Perth,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,Salmon Gums,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,North Walpole,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-05,Hobart,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-05,Launceston,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-05,Alice Springs,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-05,Darwin,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-05,Katherine,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-05,Uluru,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-06,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-06,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Canberra,6.2,16.9,0.0,5.8,8.2,SE,44.0,SE,E,20.0,24.0,70.0,57.0,1023.8,1021.7,7.0,5.0,10.9,14.8,False,False,New South Wales
2007-11-06,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-06,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-06,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-06,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-06,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-06,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-06,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-06,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-06,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-06,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-06,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,Witchcliffe,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,RAAF Base Pearce,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,Perth Airport,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,Perth,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,Salmon Gums,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,North Walpole,,,,,,,,,,,,,,,,,,,,,,Western Australia
2007-11-06,Hobart,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-06,Launceston,,,,,,,,,,,,,,,,,,,,,,Tasmania
2007-11-06,Alice Springs,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-06,Darwin,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-06,Katherine,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-06,Uluru,,,,,,,,,,,,,,,,,,,,,,Northern Territory
2007-11-07,Albury Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Badgerys Creek,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Cobar,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Coffs Harbour,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Moree,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Newcastle,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Norah Head,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,Island
2007-11-07,Penrith,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Richmond RAAF,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Sydney,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Sydney Airport,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Wagga Wagga,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Williamtown,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Wollongong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Canberra,6.1,18.2,0.2,4.2,8.4,SE,43.0,SE,ESE,19.0,26.0,63.0,47.0,1024.6,1022.2,4.0,6.0,12.4,17.3,False,False,New South Wales
2007-11-07,Tuggeranong,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Mount Ginini,,,,,,,,,,,,,,,,,,,,,,New South Wales
2007-11-07,Ballarat,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Bendigo,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Sale,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Melbourne Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Melbourne,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Mildura,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Nhil,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Portland Airport,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Watsonia,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Dartmoor,,,,,,,,,,,,,,,,,,,,,,Victoria
2007-11-07,Brisbane,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-07,Cairns,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-07,Gold Coast,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-07,Townsville,,,,,,,,,,,,,,,,,,,,,,Queensland
2007-11-07,Adelaide,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-07,Mount Gambier,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-07,Nuriootpa,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-07,Woomera,,,,,,,,,,,,,,,,,,,,,,South Australia
2007-11-07,Albany,,,,,,,,,,,,,,,,,,,,,,Western Australia
